"bench","l2_size","l2_assoc","l2_tags","num_threads","sim_ticks","num_cycles","system_total_runtime_energy","l2_total_runtime_energy","l2_miss_rate","l2_replacements"
"blackscholes","256kB","8","LRU","4","106754214000","213508428","1.34243","0.126772","0.003965","7957"
"blackscholes","256kB","8","IbRDP","4","106753792500","213507585","1.34242","0.126773","0.004839","9538"
"blackscholes","256kB","8","RRIP","4","106754214000","213508428","1.34243","0.126771","0.003851","7765"
"bodytrack","256kB","8","LRU","4","184947841000","369773411","2.21678","0.221573","0.111976","1023359"
"bodytrack","256kB","8","IbRDP","4","184947873000","369773475","2.21673","0.22152","0.098912","926736"
"bodytrack","256kB","8","RRIP","4","184947841000","369773411","2.21674","0.221529","0.101294","952812"
"canneal","256kB","8","LRU","4","72792738000","145583694","0.861741","0.0907923","0.724681","5693030"
"canneal","256kB","8","IbRDP","4","72792664000","145583546","0.861755","0.0908068","0.728751","5769619"
"canneal","256kB","8","RRIP","4","72792738000","145583694","0.861652","0.0907033","0.699813","5609488"
"dedup","256kB","8","LRU","4","531302423500","1062605019","6.28036","0.636194","0.355648","7289467"
"dedup","256kB","8","IbRDP","4","520555954500","1041058429","6.16974","0.623909","0.377559","8608003"
"dedup","256kB","8","RRIP","4","531302419500","1062605011","6.28039","0.636229","0.35997","7508724"
"facesim","256kB","8","LRU","4","3375373751500","6750748210","45.0088","4.12936","0.587264","161136996"
"facesim","256kB","8","IbRDP","4","3375373417500","6750747542","45.0093","4.12991","0.591974","164956789"
"facesim","256kB","8","RRIP","4","3375373751500","6750748210","45.0093","4.12989","0.591788","167296154"
"ferret","256kB","8","LRU","4","462917321500","925835076","5.54814","0.554152","0.345791","5449951"
"ferret","256kB","8","IbRDP","4","462916749000","925833931","5.54818","0.554201","0.353015","5834733"
"ferret","256kB","8","RRIP","4","462917257500","925834948","5.54829","0.554308","0.368312","5879256"
"fluidanimate","256kB","8","LRU","4","261555871500","523110640","3.32567","0.310797","0.522123","1414273"
"fluidanimate","256kB","8","IbRDP","4","261555608500","523110114","3.3257","0.310834","0.553472","1600204"
"fluidanimate","256kB","8","RRIP","4","261555871500","523110640","3.32569","0.310817","0.53819","1566286"
"freqmine","256kB","8","LRU","4","1332518984000","2665038472","15.713","1.58358","0.408887","6463983"
"freqmine","256kB","8","IbRDP","4","1332519724500","2665039953","15.7131","1.58366","0.419395","6743028"
"freqmine","256kB","8","RRIP","4","1332519766500","2665040037","15.7132","1.58375","0.433244","6933420"
"streamcluster","256kB","8","LRU","4","399367851500","796937005","4.85022","0.48612","0.672765","17257671"
"streamcluster","256kB","8","IbRDP","4","399367775500","796936854","4.85011","0.486008","0.662919","17233516"
"streamcluster","256kB","8","RRIP","4","399367851500","796937005","4.849","0.4849","0.568661","14663047"
"swaptions","256kB","8","LRU","4","174747013500","347705633","2.18866","0.206935","0.011028","54829"
"swaptions","256kB","8","IbRDP","4","174725201500","347705213","2.18868","0.206942","0.00846","43991"
"swaptions","256kB","8","RRIP","4","174747013500","347705633","2.18867","0.206936","0.011996","56977"
"vips","256kB","8","LRU","4","784043728000","1568087819","9.52488","0.940185","0.664257","15619923"
"vips","256kB","8","IbRDP","4","784044234000","1568088831","9.52506","0.940356","0.681344","16988924"
"vips","256kB","8","RRIP","4","784043728000","1568087819","9.52515","0.940453","0.691019","16633059"
"x264","256kB","8","LRU","4","2079262202500","4158403537","23.8011","2.47398","0.268634","10196890"
"x264","256kB","8","IbRDP","4","2079262402000","4158403374","23.8006","2.47348","0.237569","9820920"
"x264","256kB","8","RRIP","4","2079262234500","4158403537","23.8002","2.47309","0.213794","8804897"
